Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
5685,Koopmeiners,C,Juventus,4,11,3,calante,-0.73,30.7,7.44,6.36,5.63,A,C,D
5319,Sohm,C,Bologna,4,12,2,calante,-0.65,30.5,,6.23,5.58,,C,D
5688,Harroui,C,Verona,4,10,3,calante,-0.53,14.7,6.71,6.35,5.82,B,C,D
6486,Suslov,C,Verona,4,13,3,calante,-0.04,24,6.35,5.69,5.65,C,D,D
6218,Oristanio,C,Parma,4,10,3,calante,-0.45,26.3,6.33,6.28,5.83,C,C,D
4284,Sergi Roberto,C,Como,3,12,2,stabile,-0.06,13,,5.92,5.86,,D,D
6010,Fazzini,C,Fiorentina,3,10,3,exploit singolo,-1.15,19,5.96,6.9,5.75,D,A,D
6191,Belahyane,C,Lazio,3,7,3,stabile,0.07,13.3,6.0,5.7,5.77,,D,D
6984,Ondrejka,C,Parma,3,9,2,calante,-2.2,12.5,,7.8,5.6,,A,D
6212,Zarraga,C,Udinese,3,6,3,stabile,-0.12,13,6.79,5.89,5.77,,D,D
5850,Lovric,C,Verona,3,9,3,calante,-0.42,25,6.05,6.1,5.68,D,D,D
6112,Iling Junior,C,Pisa,3,11,3,dato singolo,,8.7,6.15,7.17,5.5,C,,
6980,Venturino,C,Roma,2,12,2,dato singolo,,5,,8.67,5.79,,,
4459,Rovella,C,Lazio,2,8,3,calante,-0.25,21.7,6.0,5.98,5.73,D,D,D
5872,Helgason,C,Lecce,2,7,2,dato singolo,,7,0.0,6.24,5.62,,C,
6219,Boloca,C,Sassuolo,2,4,2,dato singolo,,16,5.8,,5.75,D,,
6889,Anjorin,C,Torino,2,9,2,dato singolo,,15.5,,6.64,5.72,,B,
5540,Niasse,C,Verona,2,9,2,crescente,0.35,14,,5.41,5.76,,D,D
4677,Cornet,C,Genoa,2,5,2,dato singolo,,5.5,,7.25,4.3,,,
4890,Tameze,C,Torino,1,9,3,stabile,-0.1,20.3,5.75,5.77,5.67,D,D,D
5007,Ilic,C,Torino,1,8,3,calante,-0.42,17.7,6.36,5.94,5.88,C,D,
6677,Adzic,C,Juventus,1,1,2,dato singolo,,2.5,,6.0,6.88,,,
6538,Onana J.,C,Genoa,1,4,2,dato singolo,,4.5,,5.79,5.75,,,
2764,Martinez L.,A,Inter,33,315,3,altalenante,0.81,31.3,8.77,7.44,8.25,A,B,A
4871,Thuram,A,Inter,32,270,3,stabile,0.16,32,7.8,7.75,7.91,B,A,A
7017,Douvikas,A,Como,26,200,2,crescente,0.72,24,,6.67,7.39,,C,A
6434,Yildiz,A,Juventus,26,182,3,crescente,0.36,30,6.36,7.01,7.37,D,B,A
531,Berardi,A,Sassuolo,25,90,2,calante,-0.93,21.5,8.03,,7.1,A,,B
6435,Krstovic,A,Atalanta,24,95,3,crescente,0.3,34.3,6.25,6.86,7.16,D,C,B
5637,Davis K.,A,Udinese,24,110,3,crescente,0.81,17.3,6.7,6.47,7.28,,D,A
2137,Scamacca,A,Atalanta,23,95,2,calante,-0.36,17,7.86,0.0,7.5,A,,A
505,Bonazzoli,A,Cremonese,22,40,2,crescente,0.77,29,6.22,,6.99,D,,B
2061,Simeone,A,Torino,22,99,3,crescente,1.12,22.3,5.72,6.11,7.23,D,D,A
4463,Esposito Se.,A,Cagliari,21,70,2,stabile,0.05,23,0.0,6.76,6.81,,C,B
6060,Laurientè,A,Sassuolo,21,82,2,crescente,0.54,37,6.32,,6.86,D,,B
6669,Bonny,A,Inter,20,15,2,stabile,0.24,32.5,,6.51,6.75,,D,B
4510,Leao,A,Milan,20,80,3,calante,-0.22,31.7,7.33,7.01,6.79,B,B,B
5734,Soulè,A,Roma,20,85,3,calante,-0.23,30.3,7.18,7.04,6.81,B,B,B
7023,Pellegrino M.,A,Parma,18,67,2,calante,-0.4,24,,6.91,6.51,,B,C
6572,Castro S.,A,Bologna,17,30,3,stabile,-0.03,25.3,6.42,6.66,6.63,,C,C
5995,De Ketelaere,A,Atalanta,16,59,3,calante,-0.4,33,7.42,6.9,6.5,B,C,C
2097,Kean,A,Fiorentina,16,40,3,exploit singolo,-1.41,24,5.79,8.16,6.75,D,A,B
2841,Vlahovic,A,Juventus,16,100,3,stabile,-0.09,25.3,7.35,7.28,7.19,B,B,B
2489,Pedro,A,Lazio,16,20,3,altalenante,-0.51,26,5.93,7.23,6.72,D,B,C
2038,Pinamonti,A,Sassuolo,16,55,3,stabile,0.0,36,6.68,6.64,6.64,C,C,C
6646,Adams C.,A,Torino,16,23,2,stabile,-0.02,34,,6.74,6.72,,C,C
6001,Banda,A,Lecce,15,22,3,altalenante,0.57,22,6.24,5.85,6.42,D,D,C
4371,Raspadori,A,Atalanta,15,37,3,altalenante,-0.44,21.7,6.38,7.21,6.77,C,B,B
2531,Lukaku,A,Napoli,15,10,3,crescente,0.35,23.3,7.11,7.46,7.5,C,A,
4923,Colombo,A,Genoa,14,37,3,stabile,0.1,32,6.39,6.29,6.39,C,D,C
6556,Noslin,A,Lazio,14,24,3,altalenante,0.3,20,7.32,6.2,6.5,B,D,C
6164,Vitinha O.,A,Genoa,13,20,3,stabile,0.14,20,7.17,6.25,6.39,,D,C
309,Dybala,A,Roma,13,50,3,calante,-0.79,22.7,8.26,7.48,6.69,A,A,C
4436,Cambiaghi,A,Bologna,12,10,3,stabile,-0.12,26.3,6.18,6.5,6.38,D,D,C
6967,Diao,A,Como,12,30,2,calante,-1.65,15,,7.96,6.31,,A,D
5506,Ekuban,A,Genoa,12,12,3,altalenante,0.1,23.3,6.63,6.28,6.38,C,D,C
7008,Gimenez,A,Milan,12,12,2,calante,-1.26,14,,6.67,5.41,,C,D
6243,Borrelli,A,Cagliari,11,15,2,dato singolo,,13.5,5.5,,6.48,,,C
5500,Cancellieri,A,Lazio,11,12,3,stabile,0.16,29,6.26,6.02,6.18,D,D,D
6439,Cheddira,A,Lecce,11,23,2,calante,-0.41,18.7,6.66,0.0,6.25,C,,D
5515,Okereke,A,Cremonese,10,5,2,dato singolo,,7.5,5.8,,6.55,,,C
6822,Ekhator,A,Genoa,10,8,2,stabile,0.2,20.5,,6.06,6.26,,D,D
6675,Dovbyk,A,Roma,10,8,2,calante,-0.42,22,,7.17,6.75,,B,B
5336,Nzola,A,Sassuolo,10,15,2,stabile,0.11,19,6.03,0.0,6.14,D,,D
4359,Piccoli,A,Fiorentina,9,15,3,exploit singolo,-0.71,32.3,6.27,6.88,6.17,D,C,D
608,Zapata D.,A,Torino,8,15,3,calante,-1.19,22.3,7.39,7.71,6.2,B,,D
7001,N'Dri,A,Lecce,7,10,2,dato singolo,,12,,5.86,6.12,,,D
6643,Dallinga,A,Bologna,6,9,2,stabile,-0.21,20.5,,6.35,6.14,,D,D
5672,Dia,A,Lazio,6,9,3,altalenante,-0.99,25.7,6.41,6.83,5.84,C,C,D
6827,Njie,A,Torino,6,4,2,dato singolo,,10,,5.83,6.18,,,D
5471,Djuric,A,Cremonese,5,8,3,calante,-0.66,23.3,6.65,6.61,5.95,C,C,D
441,Belotti,A,Cagliari,5,10,3,calante,-0.87,13.3,7.04,6.17,7.5,C,D,
479,Sanabria,A,Cremonese,4,10,3,calante,-0.08,26.7,6.29,5.84,5.76,D,D,D
6159,Sarr A.,A,Verona,4,8,2,calante,-0.57,29,,6.17,5.6,,D,D
6630,Mosquera,A,Verona,4,8,2,calante,-0.25,23.5,,6.29,6.04,,D,D
6895,Dominguez B.,A,Bologna,3,8,2,calante,-0.7,16.5,,6.7,6.0,,C,D
247,Pavoletti,A,Cagliari,3,7,3,calante,-0.66,11.7,6.97,6.31,6.36,C,D,
6207,Almqvist,A,Parma,3,7,3,stabile,0.15,22,6.07,5.85,6.0,D,D,D
6519,Camarda,A,Lecce,2,8,2,dato singolo,,8,0.0,5.92,5.64,,,D
313,Morata,A,Como,2,10,2,calante,-1.62,17,,6.81,5.19,,C,D
2012,Milik,A,Juventus,1,5,2,dato singolo,,8.7,6.4,0.0,6.0,C,,
