Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
2593,Martin,D,Genoa,10,11,3,altalenante,-0.21,28.3,5.82,6.26,6.05,D,B,C
5877,Carlos Augusto,D,Inter,10,15,3,altalenante,-0.48,30.3,6.17,6.57,6.09,B,A,C
6989,Tiago Gabriel,D,Lecce,10,25,2,dato singolo,,19,,6.0,6.04,,,C
4502,Gallo,D,Lecce,10,15,3,stabile,0.32,34.3,5.97,5.65,5.97,C,D,C
6496,Bartesaghi,D,Milan,10,15,3,dato singolo,,12.3,6.0,5.17,6.08,,,C
6202,Beukema,D,Napoli,10,10,3,stabile,-0.01,28.7,6.07,6.12,6.11,C,C,C
2816,Di Lorenzo,D,Napoli,10,28,3,stabile,-0.08,33,6.22,6.35,6.27,B,B,B
6664,Delprato,D,Parma,10,22,2,stabile,-0.13,34.5,,6.24,6.11,,B,C
4263,Kabasele,D,Udinese,10,9,3,altalenante,-0.12,18.7,5.77,6.28,6.16,D,B,B
4210,Mina,D,Cagliari,9,12,3,stabile,0.14,24,6.3,6.05,6.19,B,C,B
5435,Moreno Alb.,D,Como,9,10,2,crescente,0.65,19.5,,5.76,6.41,,D,B
5520,Cambiaso,D,Juventus,9,17,3,stabile,-0.37,34,6.15,6.34,5.97,C,B,C
5835,Baschirotto,D,Cremonese,9,13,3,crescente,0.08,34.7,5.78,6.08,6.16,D,C,B
6642,Coco,D,Torino,9,12,2,stabile,-0.04,33.5,,6.0,5.96,,C,C
393,Luperto,D,Cremonese,8,12,3,stabile,-0.03,36,6.08,6.0,5.97,C,C,C
4433,Zortea,D,Bologna,8,12,3,calante,-0.75,27.3,6.53,6.57,5.82,A,A,D
5833,Gila,D,Lazio,8,16,3,stabile,-0.02,28,5.9,5.89,5.87,C,D,D
460,Romagnoli,D,Lazio,8,16,3,stabile,-0.06,30.7,5.75,5.95,5.89,D,D,C
