Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
1857,Di Francesco F.,LEC,1,7.0,10.0,1,0,0,0,0,0,0,0
5415,Traore' C.,MIL,1,7.0,10.0,1,0,0,0,0,0,0,0
2083,Biraschi,GEN,1,6.0,9.0,1,0,0,0,0,0,0,0
2764,Martinez L.,INT,33,6.7,8.77,24,0,2,3,0,2,5,0
309,Dybala,ROM,27,6.54,8.26,13,0,7,7,0,9,3,0
531,Berardi,SAS,17,6.5,8.03,9,0,5,5,0,2,6,0
2137,Scamacca,ATA,28,6.38,7.86,12,0,0,0,0,6,1,0
4661,Osimhen,NAP,25,6.32,7.84,15,0,3,5,0,2,4,1
4871,Thuram,INT,35,6.53,7.8,13,0,0,0,0,7,3,0
2194,Calhanoglu,INT,32,6.47,7.7,13,0,10,10,0,3,5,0
5800,Gudmundsson A.,GEN,35,6.5,7.67,14,0,4,5,0,4,4,0
4200,Giroud,MIL,35,6.19,7.59,15,0,4,5,0,8,0,1
4730,Lookman,ATA,30,6.3,7.57,11,0,0,0,0,7,4,0
382,Niang,EMP,14,6.21,7.54,6,0,4,4,0,1,1,0
2423,Pulisic,MIL,36,6.38,7.54,12,0,0,0,0,7,2,0
5685,Koopmeiners,ATA,34,6.31,7.44,12,0,2,2,0,5,5,0
5995,De Ketelaere,ATA,33,6.35,7.42,10,0,1,1,0,8,1,0
608,Zapata D.,TOR,37,6.28,7.39,13,0,0,0,0,3,2,0
5086,Zirkzee,BOL,34,6.4,7.37,11,0,2,2,0,4,8,0
2841,Vlahovic,JUV,33,6.11,7.35,16,0,2,4,0,3,6,1
4179,Gonzalez N.,FIO,29,6.26,7.34,12,0,1,3,0,2,1,0
4510,Leao,MIL,33,6.32,7.33,9,0,0,0,0,9,5,0
6521,Simic J.,MIL,3,6.33,7.33,1,0,0,0,0,0,0,0
6556,Noslin,VER,17,6.26,7.32,5,0,0,0,0,4,2,0
4377,Castrovilli,FIO,5,6.2,7.2,1,0,0,0,0,2,0,0
254,Dimarco,INT,30,6.48,7.18,5,0,0,0,0,6,0,0
5734,Soule',FRO,36,6.4,7.18,11,0,5,6,0,2,4,0
5839,Kvaratskhelia,NAP,34,6.18,7.18,11,0,0,0,0,5,8,0
2002,Chiesa,JUV,32,6.28,7.17,9,0,1,1,0,2,1,0
6164,Vitinha O.,GEN,6,6.25,7.17,2,0,0,0,0,0,2,0
2531,Lukaku,ROM,32,6.0,7.11,13,0,0,1,0,3,5,1
441,Belotti,FIO,24,6.15,7.04,6,0,0,0,0,4,1,0
2848,Frattesi,INT,28,6.3,7.04,6,0,0,0,0,3,1,0
2167,Orsolini,BOL,32,6.16,7.03,10,0,2,3,0,2,2,0
1930,Pinsoglio,JUV,1,7.0,7.0,0,0,0,0,0,0,0,0
2765,Odgaard,BOL,9,6.22,7.0,2,0,0,0,0,1,1,0
5063,Radonjic,TOR,8,5.88,7.0,3,0,0,0,0,0,1,0
6217,Bisseck,INT,11,6.36,7.0,2,0,0,0,0,1,0,0
5858,Ferguson,BOL,31,6.44,6.98,6,0,0,0,0,3,8,0
247,Pavoletti,CAG,15,6.23,6.97,4,0,0,0,0,1,4,0
530,Pellegrini Lo.,ROM,29,6.16,6.97,8,0,1,1,0,3,7,0
4896,Maldini,MON,16,6.16,6.94,4,0,0,0,0,1,1,0
6206,Fabbian,BOL,22,6.27,6.91,5,0,0,0,0,1,4,0
4268,Arnautovic,INT,24,6.15,6.9,5,0,0,0,0,3,0,0
6227,Okafor,MIL,25,6.12,6.9,6,0,0,0,0,2,1,0
2077,Pasalic,ATA,33,6.2,6.88,6,0,2,2,0,6,3,0
4364,Gaetano,CAG,17,6.12,6.88,5,0,1,1,0,0,2,1
6225,El Azzouzi,BOL,9,6.11,6.83,2,0,0,0,0,2,4,0
367,Bonaventura,FIO,31,6.15,6.82,8,0,0,1,0,3,6,0
5878,Colpani,MON,38,6.09,6.82,8,0,0,0,0,4,1,0
4376,Zurkowski,EMP,13,6.04,6.81,4,0,0,0,0,0,4,0
632,Zaccagni,LAZ,28,6.27,6.8,6,0,0,0,0,1,8,0
2369,Thauvin,UDI,27,6.2,6.8,5,0,1,1,0,3,4,0
6212,Zarraga,UDI,7,5.93,6.79,2,0,0,0,0,0,0,0
2475,Sanchez,INT,18,6.17,6.78,2,0,1,1,0,5,0,0
536,Politano,NAP,37,6.07,6.77,8,0,2,3,0,7,2,1
2085,Luis Alberto,LAZ,32,6.19,6.77,5,0,0,0,0,7,7,0
4142,Aouar,ROM,13,5.96,6.77,4,0,0,0,0,0,3,0
6145,Ngonge,NAP,29,6.07,6.76,7,0,0,0,0,2,6,0
332,Candreva,SAL,34,6.07,6.74,6,0,1,1,0,7,5,0
5001,Miranchuk,ATA,22,6.11,6.73,3,0,0,0,0,5,1,0
5688,Harroui,FRO,17,6.06,6.71,3,0,1,1,0,3,2,0
6228,Retegui,GEN,29,6.0,6.71,7,0,1,1,0,2,5,0
5637,Davis K.,UDI,5,6.3,6.7,1,0,0,0,0,0,2,0
2038,Pinamonti,SAS,37,5.89,6.68,11,0,2,3,0,1,4,0
