Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
5512,De Luca,CRE,1,7.0,10.0,1,0,1,1,0,0,0,0
5585,Malen,ROM,18,6.78,9.03,14,0,3,4,0,2,1,0
2764,Martinez L.,INT,30,6.42,8.25,17,0,0,0,0,6,4,0
4871,Thuram,INT,29,6.4,7.91,13,0,0,0,0,6,2,0
254,Dimarco,INT,35,6.64,7.69,7,0,0,0,0,17,3,0
2194,Calhanoglu,INT,22,6.43,7.55,9,0,4,5,0,4,7,0
2137,Scamacca,ATA,23,6.2,7.5,10,0,2,2,0,1,2,0
2531,Lukaku,NAP,2,6.25,7.5,1,0,0,0,0,0,1,0
441,Belotti,CAG,4,6.0,7.5,2,0,1,1,0,0,0,0
6052,Hojlund,NAP,33,6.21,7.44,12,0,1,1,0,5,1,0
7017,Douvikas,COM,36,6.19,7.39,14,0,1,1,0,1,0,0
6434,Yildiz,JUV,35,6.46,7.37,10,0,1,2,0,6,2,0
6875,Paz N.,COM,35,6.41,7.34,12,0,0,2,0,5,5,0
5637,Davis K.,UDI,30,6.23,7.28,10,0,4,4,0,4,5,0
7351,Santos A.,NAP,13,6.38,7.27,4,0,0,0,0,0,1,0
2517,De Bruyne,NAP,18,6.33,7.25,5,0,3,3,0,2,1,0
2061,Simeone,TOR,32,6.22,7.23,11,0,0,0,0,0,1,0
4777,McTominay,NAP,33,6.35,7.21,10,0,0,1,0,2,1,0
2841,Vlahovic,JUV,18,6.03,7.19,7,0,1,1,0,0,0,0
7126,Baturina,COM,25,6.34,7.18,6,0,0,0,0,3,0,0
6435,Krstovic,ATA,32,6.12,7.16,10,0,0,0,0,5,4,0
2832,Boga,JUV,13,6.15,7.12,4,0,0,0,0,1,1,0
4711,Kostic,JUV,10,6.1,7.1,3,0,0,0,0,1,1,0
531,Berardi,SAS,26,6.21,7.1,8,0,2,3,0,4,2,1
7071,Esposito F.P.,INT,32,6.27,7.0,7,0,0,0,0,3,1,0
6015,Berisha M.,LEC,12,6.25,7.0,2,0,0,0,0,3,0,0
7342,Elphege,PAR,8,6.12,7.0,2,0,0,0,0,1,0,0
505,Bonazzoli,CRE,35,6.13,6.99,10,0,3,3,0,2,4,0
2379,Rabiot,MIL,29,6.33,6.98,6,0,0,0,0,4,4,1
5559,Da Cunha,COM,35,6.39,6.96,6,0,4,4,0,4,4,0
2423,Pulisic,MIL,29,6.07,6.93,8,0,0,1,0,4,0,0
152,Zielinski,INT,31,6.35,6.89,6,0,1,1,0,2,3,0
6677,Adzic,JUV,4,6.12,6.88,1,0,0,0,0,0,0,0
6060,Laurientè,SAS,37,6.11,6.86,7,0,0,0,0,9,4,0
6908,Atta,UDI,32,6.34,6.86,5,0,0,0,0,3,3,0
4220,Zambo Anguissa,NAP,18,6.14,6.83,4,0,0,0,0,1,1,0
4728,Nkunku,MIL,26,5.9,6.83,7,0,5,5,0,3,0,0
2167,Orsolini,BOL,34,6.1,6.81,10,0,4,6,0,1,2,0
4463,Esposito Se.,CAG,36,6.19,6.81,7,0,1,1,0,4,6,0
6831,Neres,NAP,16,6.16,6.81,3,0,0,0,0,3,3,0
5734,Soulè,ROM,32,6.11,6.81,6,0,0,0,0,5,1,0
4510,Leao,MIL,28,5.8,6.79,9,0,2,2,0,3,5,0
2788,Bremer,JUV,26,6.29,6.77,4,0,0,0,0,3,5,0
4371,Raspadori,ATA,13,6.0,6.77,3,0,0,0,0,1,0,0
2766,Zaniolo,UDI,31,6.24,6.76,5,0,0,0,0,5,8,0
2097,Kean,FIO,26,5.87,6.75,8,0,2,2,0,1,4,0
6669,Bonny,INT,28,6.09,6.75,5,0,0,0,0,4,1,0
6675,Dovbyk,ROM,12,5.92,6.75,3,0,0,0,0,1,0,0
6365,Ferguson E.,ROM,14,6.0,6.75,3,0,0,0,0,2,1,0
6226,Castellanos,LAZ,11,6.0,6.73,2,0,0,0,0,3,2,0
1870,Barella,INT,34,6.29,6.72,3,0,0,0,0,9,7,0
4973,McKennie,JUV,34,6.18,6.72,5,0,0,0,0,6,5,0
2489,Pedro,LAZ,23,6.07,6.72,5,0,2,2,0,2,4,0
6646,Adams C.,TOR,32,6.06,6.72,6,0,0,0,0,3,0,0
2606,Modric,MIL,33,6.5,6.71,2,0,0,0,0,3,4,0
7347,Bowie,VER,14,5.89,6.71,4,0,0,0,0,0,1,0
7129,Rodriguez Je.,COM,28,6.29,6.7,2,0,0,0,0,8,3,1
5687,Vlasic,TOR,37,6.07,6.7,8,0,5,5,0,3,7,0
309,Dybala,ROM,21,6.21,6.69,2,0,0,1,0,7,0,0
7199,Kilicsoy,CAG,17,5.97,6.68,4,0,0,0,0,0,1,0
4970,Messias,GEN,19,6.16,6.66,3,0,1,1,0,1,1,0
5022,Pavlovic,MIL,34,6.28,6.66,5,0,0,0,0,0,4,0
6884,Conceicao,JUV,31,6.24,6.65,3,0,0,0,0,5,3,0
2038,Pinamonti,SAS,35,5.93,6.64,9,0,0,1,0,3,2,1
6572,Castro S.,BOL,35,6.04,6.63,7,0,0,0,0,1,3,0
6217,Bisseck,INT,23,6.2,6.63,3,0,0,0,0,2,2,0
6717,Konè I.,SAS,35,6.19,6.63,6,0,0,0,0,0,3,1
6653,Bravo,UDI,4,6.0,6.62,1,0,0,0,0,0,1,0
7374,Mendy P.,CAG,8,5.94,6.62,2,0,0,0,0,0,1,0
2765,Odgaard,BOL,22,5.91,6.61,5,0,0,0,0,1,1,0
4486,Strefezza,PAR,14,6.14,6.61,2,0,0,0,0,2,3,0
5844,Thorstvedt,SAS,31,6.27,6.61,4,0,0,0,0,3,9,0
184,Bernardeschi,BOL,25,6.08,6.58,4,0,1,1,0,2,3,0
7127,Addai,COM,12,6.0,6.58,3,0,0,0,0,0,4,0
530,Pellegrini Lo.,ROM,24,6.04,6.58,4,0,2,2,0,2,2,0
2296,Mancini,ROM,36,6.31,6.57,4,0,0,0,0,2,9,0
6151,Perrone,COM,36,6.31,6.56,3,0,0,0,0,4,8,0
1933,Mandragora,FIO,34,5.99,6.56,7,0,1,1,0,2,7,0
6398,Isaksen,LAZ,27,5.96,6.56,5,0,0,0,0,1,0,0
6684,Ekkelenkamp,UDI,31,6.0,6.56,5,0,0,0,0,3,1,0
5515,Okereke,CRE,10,5.95,6.55,2,0,0,0,0,0,0,0
1976,Mazzitelli,CAG,14,6.04,6.54,2,0,0,0,0,2,3,0
6552,Orban G.,VER,28,5.82,6.54,7,0,2,2,0,2,4,1
2499,Vardy,CRE,29,5.86,6.53,7,0,0,0,0,1,5,0
7314,Taylor K.,LAZ,17,6.03,6.53,3,0,0,0,0,2,5,0
7181,Wesley,ROM,30,6.17,6.52,5,0,0,0,0,0,5,2
5888,Casadei,TOR,32,6.03,6.52,6,0,0,0,0,0,5,0
5750,Ostigard,GEN,30,6.13,6.52,5,0,0,0,0,0,7,0
7023,Pellegrino M.,PAR,37,5.85,6.51,9,0,1,1,0,0,5,0
5995,De Ketelaere,ATA,31,6.11,6.5,3,0,0,0,0,5,4,0
6640,Felici,CAG,11,6.0,6.5,2,0,0,0,0,1,3,0
6893,Kempf,COM,30,6.12,6.5,4,0,0,0,0,1,3,0
6403,Christensen O.,FIO,1,7.5,6.5,0,1,0,0,0,0,0,0
4177,Pavard,INT,1,6.5,6.5,0,0,0,0,0,0,0,0
2529,Mkhitaryan,INT,28,6.12,6.5,4,0,0,0,0,1,5,0
6039,Cabal,JUV,10,5.95,6.5,2,0,0,0,0,0,1,0
6556,Noslin,LAZ,23,6.02,6.5,4,0,0,0,0,2,4,1
4892,Saelemaekers,MIL,35,6.23,6.5,3,0,0,0,0,3,5,0
5338,Rinaldi,PAR,1,7.0,6.5,0,0,0,0,0,0,1,0
7157,Iannoni,SAS,6,6.08,6.5,1,0,0,0,0,0,3,0
6243,Borrelli,CAG,26,5.94,6.48,5,0,0,0,0,1,4,0
4199,Loftus-Cheek,MIL,22,6.07,6.48,3,0,0,0,0,1,2,0
4409,Rrahmani,NAP,21,6.26,6.48,2,0,0,0,0,0,3,0
1852,Spinazzola,NAP,30,6.1,6.48,3,0,0,0,0,3,1,0
6844,Rowe,BOL,28,6.09,6.48,3,0,0,0,0,3,2,0
4427,Malinovskyi,GEN,34,6.0,6.47,6,0,3,3,0,3,10,0
6986,Rensch,ROM,18,6.11,6.47,1,0,0,0,0,4,1,0
5589,Konè M.,ROM,29,6.19,6.47,2,0,0,0,0,3,2,0
6956,Solet,UDI,35,6.26,6.47,3,0,1,1,0,1,1,0
5455,Moreo,PIS,35,5.89,6.46,7,0,2,2,0,0,2,0
5792,Ederson D.S.,ATA,30,6.25,6.43,2,0,1,1,0,1,3,0
6190,Pisilli,ROM,23,6.07,6.43,2,0,0,0,0,4,3,0
5735,Volpato,SAS,21,6.05,6.43,2,0,0,0,0,4,4,0
5526,Scalvini,ATA,24,6.04,6.42,3,0,0,0,0,1,2,0
449,Vazquez,CRE,13,6.04,6.42,1,0,0,0,0,2,1,0
4976,Kalulu,JUV,37,6.2,6.42,2,0,0,0,0,4,2,1
6001,Banda,LEC,32,5.95,6.42,5,0,0,0,0,4,6,1
5435,Moreno Alb.,COM,16,6.09,6.41,2,0,0,0,0,1,4,0
5036,Caqueret,COM,29,6.12,6.41,2,0,0,0,0,4,3,0
4807,Hermoso,ROM,27,6.17,6.41,3,0,0,0,0,2,9,0
6274,Diouf,INT,11,6.14,6.41,1,0,0,0,0,0,1,0
7329,Obrador,TOR,16,6.06,6.41,1,0,0,0,0,3,1,0
4730,Lookman,ATA,10,5.8,6.4,2,0,0,0,0,0,0,0
7254,Lorran,PIS,5,5.8,6.4,1,0,0,0,0,0,0,0
6832,Palestra,CAG,37,6.24,6.39,1,0,0,0,0,4,3,0
4923,Colombo,GEN,37,5.91,6.39,7,0,1,2,0,1,2,0
6164,Vitinha O.,GEN,32,5.97,6.39,5,0,0,0,0,1,5,0
5513,Dumfries,INT,19,5.92,6.39,3,0,0,0,0,1,2,0
5422,Zalewski,ATA,31,6.08,6.39,2,0,0,0,0,5,3,0
6666,Bernabè,PAR,32,6.08,6.39,3,0,0,0,0,1,0,0
4317,N'Dicka,ROM,31,6.15,6.39,3,0,0,0,0,1,5,0
7162,Giovane,NAP,31,5.94,6.39,3,0,0,0,0,6,2,0
4159,Akanji,INT,32,6.27,6.39,2,0,0,0,0,0,4,0
6380,Solomon,FIO,14,5.93,6.39,2,0,0,0,0,1,1,0
6066,Posch,COM,8,6.06,6.38,1,0,0,0,0,0,1,0
5678,Holm,JUV,16,6.03,6.38,1,0,0,0,0,4,1,1
4436,Cambiaghi,BOL,25,5.96,6.38,3,0,0,0,0,4,3,1
5506,Ekuban,GEN,29,5.93,6.38,4,0,0,0,0,1,0,0
6550,Garcia U.,SAS,13,6.12,6.38,1,0,0,0,0,2,3,0
247,Pavoletti,CAG,7,6.0,6.36,1,0,0,0,0,0,1,0
4896,Maldini,LAZ,18,5.97,6.33,2,0,0,0,0,1,1,0
4364,Gaetano,CAG,32,6.08,6.33,2,0,0,0,0,4,4,0
333,Cataldi,LAZ,27,6.0,6.33,3,0,2,2,0,3,6,0
5674,Basic,LAZ,23,5.98,6.33,2,0,0,0,0,3,0,1
536,Politano,NAP,33,6.06,6.33,2,0,0,0,0,5,4,0
7223,Vergara,NAP,9,6.11,6.33,1,0,0,0,0,0,2,0
