Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
6496,Bartesaghi,MIL,3,5.5,5.17,0,0,0,0,0,0,0,1
5876,Di Gregorio,JUV,33,6.12,5.15,0,32,0,0,0,0,0,0
6874,Palacios T.,MON,7,5.29,5.14,0,0,0,0,0,0,2,0
188,Leali,GEN,29,6.17,5.12,0,31,0,0,1,0,1,0
133,Skorupski,BOL,27,6.2,5.07,0,33,0,0,1,0,1,0
5867,Gendrey,LEC,2,5.0,5.0,0,0,0,0,0,0,0,0
4,Sportiello,MIL,2,6.0,5.0,0,2,0,0,0,0,0,0
511,Perilli,VER,2,6.0,5.0,0,2,0,0,0,0,0,0
6944,Jack,COM,1,5.5,5.0,0,0,0,0,0,0,1,0
4807,Hermoso,ROM,4,5.12,4.88,0,0,0,0,0,0,0,1
2722,Ravaglia F.,BOL,12,5.96,4.79,0,14,0,0,0,0,0,0
6978,Lekovic,MON,7,5.07,4.79,0,0,0,0,0,0,0,0
2134,Falcone,LEC,38,6.25,4.78,0,58,0,0,1,0,2,0
6641,Suzuki,PAR,37,6.22,4.76,0,53,0,0,0,0,0,1
4867,Turati,MON,30,6.27,4.72,0,52,0,0,2,0,1,0
6977,Otoa,GEN,3,5.17,4.67,0,0,0,0,0,0,1,1
6125,Vasquez D.,EMP,32,5.98,4.64,0,45,0,0,1,0,2,0
6842,Sava,UDI,12,6.0,4.62,0,16,0,0,0,0,1,0
6656,Braunoder,COM,4,4.88,4.5,0,0,0,0,0,0,1,1
2814,Provedel,LAZ,29,5.93,4.48,0,42,0,0,0,0,0,0
387,Reina,COM,12,5.71,4.46,0,14,0,0,0,0,0,1
4957,Montipo',VER,36,6.18,4.43,0,64,0,0,1,0,0,0
6462,Okoye,UDI,25,6.1,4.4,0,40,0,0,0,0,1,0
6650,Sherri,CAG,7,5.93,4.36,0,11,0,0,0,0,0,0
